0, 3, 1, 2, 0.0076980035891950115
3, 4, 2, 5, 0.0076980035891950115
4, 7, 5, 6, 0.0076980035891950115
7, 8, 6, 9, 0.0076980035891950115
8, 11, 9, 10, 0.0076980035891950115
11, 12, 10, 13, 0.0076980035891950115
12, 15, 13, 14, 0.0076980035891950115
15, 16, 14, 17, 0.0076980035891950115
16, 19, 17, 18, 0.0076980035891950115
2, 3, 0, 4, 0.0076980035891950115
4, 5, 3, 7, 0.0076980035891950115
6, 7, 4, 8, 0.0076980035891950115
8, 9, 7, 11, 0.0076980035891950115
10, 11, 8, 12, 0.0076980035891950115
12, 13, 11, 15, 0.0076980035891950115
14, 15, 12, 16, 0.0076980035891950115
16, 17, 15, 19, 0.0076980035891950115
