0, 1, 0.01, 1.7320508075688774
2, 3, 0.01, 1.7320508075688774
4, 5, 0.01, 1.7320508075688774
6, 7, 0.01, 1.7320508075688774
8, 9, 0.01, 1.7320508075688774
10, 11, 0.01, 1.7320508075688774
12, 13, 0.01, 1.7320508075688774
14, 15, 0.01, 1.7320508075688774
16, 17, 0.01, 1.7320508075688774
18, 19, 0.01, 1.7320508075688774
0, 2, 0.0125, 2.706329386826371
0, 3, 0.016007810593582122, 4.438380194395249
2, 4, 0.0125, 2.706329386826371
3, 4, 0.016007810593582122, 4.438380194395249
4, 6, 0.012500000000000004, 2.7063293868263725
4, 7, 0.016007810593582125, 4.4383801943952506
6, 8, 0.0125, 2.706329386826371
7, 8, 0.016007810593582122, 4.438380194395249
8, 10, 0.012499999999999997, 2.7063293868263694
8, 11, 0.01600781059358212, 4.438380194395246
10, 12, 0.012500000000000011, 2.7063293868263756
11, 12, 0.016007810593582132, 4.438380194395254
12, 14, 0.012499999999999997, 2.7063293868263694
12, 15, 0.01600781059358212, 4.438380194395246
14, 16, 0.012499999999999997, 2.7063293868263694
15, 16, 0.01600781059358212, 4.438380194395246
16, 18, 0.012499999999999997, 2.7063293868263694
16, 19, 0.01600781059358212, 4.438380194395246
1, 3, 0.0125, 2.706329386826371
3, 5, 0.0125, 2.706329386826371
5, 7, 0.012500000000000004, 2.7063293868263725
7, 9, 0.0125, 2.706329386826371
9, 11, 0.012499999999999997, 2.7063293868263694
11, 13, 0.012500000000000011, 2.7063293868263756
13, 15, 0.012499999999999997, 2.7063293868263694
15, 17, 0.012499999999999997, 2.7063293868263694
17, 19, 0.012499999999999997, 2.7063293868263694
